,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,Genre
36,0.297,0.722,175613,0.823,0,7,0.489,-3.916,1,0.081,148.23,4,0.855,1,Poppin' My Collar,Three 6 Mafia,Pop
37,0.0565,0.853,205879,0.547,0,1,0.341,-7.535,1,0.194,142.065,4,0.677,1,Jumpman,Drake,Hip Hop
38,0.0128,0.747,213507,0.705,0,9,0.126,-5.137,0,0.126,136.024,4,0.571,1,7/11,Beyoncé,Hip Hop
39,0.135,0.777,237187,0.591,5.5E-05,1,0.126,-7.431,0,0.0327,124.111,4,0.848,1,Somebody's Watching Me,Rockwell,Pop
40,0.00041,0.731,324541,0.852,0.625,11,0.358,-6.08,1,0.0476,125.008,4,0.622,1,Bang That,Disclosure,Dance
41,0.00356,0.76,186122,0.402,0,8,0.333,-8.751,1,0.164,147.028,4,0.069,1,I Don't Sell Molly No More,ILoveMakonnen,Hip Hop
42,0.00156,0.624,183000,0.792,1.54E-06,10,0.0772,-5.33,0,0.0473,139.94,4,0.318,1,Versace Python,Riff Raff,Hip Hop
43,0.00243,0.621,378893,0.683,0.00856,11,0.525,-5.619,0,0.242,124.283,5,0.0891,1,Monster,Kanye West,Hip Hop
44,0.533,0.64,234526,0.819,0,7,0.156,-4.108,1,0.455,166.012,4,0.624,1,OOOUUU,Young M.A.,Hip Hop
45,0.00631,0.715,213093,0.833,0,2,0.164,-5.379,1,0.108,95.487,4,0.607,1,Return Of The Mack - C & J Street Mix,Mark Morrison,R&B
46,0.00182,0.7,386160,0.756,0.711,2,0.0575,-10.714,1,0.0575,114.28,4,0.947,1,Fantastic Man,William Onyeabor,Funk
47,0.0923,0.789,175240,0.494,0.000408,1,0.144,-13.702,1,0.0456,104.593,4,0.832,1,Right Place Wrong Time,Dr. John,Jazz
48,0.375,0.796,252547,0.86,0.00457,5,0.0745,-6.202,0,0.0653,129.008,3,0.973,1,Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo,Other
49,0.183,0.716,576888,0.957,0.058,3,0.182,-4.814,1,0.0689,106.714,4,0.93,1,Odofo Nyi Akyiri Biara,Ebo Taylor,Other
50,0.0185,0.74,241341,0.846,0.0624,2,0.254,-6.039,1,0.0808,95.995,4,0.852,1,Annie,Neon Indian,Indie
51,0.0638,0.7,224480,0.84,0.112,7,0.141,-6.227,0,0.0292,132.475,4,0.745,1,The Chase,Future Islands,Indie
52,0.456,0.514,215613,0.453,0.000181,6,0.178,-7.062,1,0.0267,75.548,4,0.532,1,Coming Home,Leon Bridges,R&B
53,0.128,0.313,286960,0.77,0.0787,7,0.0873,-7.265,1,0.0335,74.749,4,0.186,1,Wishes,Beach House,Indie
54,0.246,0.676,254769,0.528,0,7,0.0803,-8.699,1,0.0366,130.073,4,0.301,1,White Iverson,Post Malone,Hip Hop
55,0.12,0.532,213622,0.596,0,11,0.504,-9.912,0,0.187,119.296,5,0.486,1,I Know There's Gonna Be (Good Times),Jamie xx,Indie
56,0.00426,0.646,283067,0.629,0.277,8,0.122,-10.775,0,0.0427,109.013,4,0.176,1,Loud Places,Jamie xx,Indie
57,0.193,0.598,238307,0.252,0.138,2,0.0992,-15.086,1,0.0647,120.06,4,0.0359,1,L$D,A$AP Rocky,Hip Hop
58,0.0174,0.754,113373,0.442,9.4E-05,5,0.0622,-8.873,0,0.127,148.04,4,0.599,1,Dopeman,Vince Staples,Hip Hop
59,0.000392,0.294,311360,0.786,0.865,2,0.272,-3.626,1,0.0378,81.108,4,0.136,1,California Nights,Best Coast,Indie
60,0.435,0.622,287427,0.253,0.471,2,0.0941,-14.36,1,0.0331,92.584,4,0.328,1,Baby,Ariel Pink's Haunted Graffiti,Rock
61,0.257,0.559,225347,0.656,0.000171,9,0.2,-8.699,0,0.0469,79.638,4,0.671,1,Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",R&B
62,0.000145,0.54,293646,0.945,0.753,9,0.667,-6.64,1,0.0406,92.995,4,0.87,1,Fail to Cry,Yacht Club,Indie
63,0.273,0.793,232251,0.7,0,0,0.174,-6.641,0,0.0572,140.058,4,0.887,1,Evil Friends (feat. Danny Brown) - Jake One Remix,Portugal. The Man,Indie
64,0.374,0.549,223720,0.715,3.5E-06,1,0.17,-11.164,1,0.0633,82.118,4,0.785,1,Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi,Disco
65,0.00266,0.557,186397,0.607,0.771,0,0.33,-10.088,1,0.0578,73.061,4,0.259,1,Sentimental Trash,Sweet Valley,Dance
66,0.000546,0.597,279240,0.444,0.051,2,0.335,-8.39,0,0.03,120.074,4,0.361,1,Get Away,CHVRCHES,Indie
67,0.00781,0.879,213786,0.512,1.45E-05,0,0.134,-7.83,1,0.0775,127.95,4,0.277,1,Look At Wrist,Father,Trap
68,0.125,0.726,334173,0.497,0.89,10,0.104,-10.742,0,0.0433,125.004,4,0.472,1,Our Love,Caribou,Dance
69,0.00158,0.857,134062,0.831,0,2,0.154,-4.664,1,0.0995,106.059,4,0.251,1,I Ain't Trippin off Nothin,Ezale,Hip Hop
70,0.0132,0.807,330920,0.778,0.666,0,0.109,-5.485,1,0.0399,120.001,4,0.797,1,They Don't Know - Original Mix,Disciples,Indie
71,0.783,0.596,196627,0.639,0.569,0,0.331,-6.546,1,0.03,124.012,4,0.197,1,Sabali,Amadou & Mariam,World
72,0.518,0.683,155133,0.708,2.08E-05,4,0.175,-6.852,0,0.0289,106.446,4,0.967,1,Spooky,Dusty Springfield,Pop
73,0.0548,0.768,239908,0.853,0.13,10,0.0188,-5.915,0,0.0427,107.234,4,0.887,1,Pick Up The Pieces,Average White Band,Funk
74,0.727,0.506,160400,0.948,0,10,0.0904,-5.626,1,0.105,130.195,4,0.936,1,Have Love Will Travel,The Sonics,Rock
75,0.000313,0.457,293533,0.918,0.000215,11,0.769,-5.295,0,0.0471,105.018,4,0.297,1,Capitol,TR/ST,Rock
76,0.34,0.468,386760,0.58,0.821,7,0.0737,-8.131,1,0.0278,76.27,4,0.324,1,Uncast Shadow Of A Southern Myth,Parquet Courts,Indie
77,0.47,0.537,232453,0.447,1.86E-05,9,0.0519,-8.261,1,0.0289,84.362,3,0.549,1,I Shall Be Released - Remastered,Nina Simone,Jazz
78,0.855,0.515,378253,0.217,0.463,3,0.598,-13.382,0,0.0351,80.015,4,0.194,1,Words I Don't Remember,How To Dress Well,Dance
79,0.00502,0.429,196933,0.725,1.54E-05,2,0.266,-6.156,1,0.0371,82.925,4,0.174,1,To The Top,Twin Shadow,Indie
80,0.555,0.791,187210,0.58,0.00155,8,0.116,-8.377,1,0.0588,81.678,4,0.733,1,Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat,R&B
81,0.186,0.711,221350,0.705,0,10,0.148,-6.248,0,0.252,144.053,4,0.403,1,Aquafina (feat. GoldLink & Chaz French),Falcons,Dance
82,0.0249,0.683,201049,0.824,0.627,1,0.0533,-8.569,0,0.222,154.008,4,0.921,1,Hot Blur,How Sad,Pop
83,0.0108,0.309,257867,0.325,0.854,6,0.0742,-16.4,0,0.0366,175.88,4,0.46,1,Summer Madness,Kool & The Gang,R&B
84,0.193,0.867,460400,0.733,0.000219,10,0.749,-7.54,0,0.237,97.835,4,0.761,1,The Payback,James Brown,Soul
85,0.0192,0.619,275533,0.734,0.263,5,0.0771,-9.366,0,0.0343,106.034,4,0.853,1,I'm In Love,Fool's Gold,Other
86,0.00776,0.898,429897,0.5,0.292,1,0.0771,-11.089,1,0.0571,122.281,4,0.868,1,I Need You Tonight,Punkin Machine,R&B
87,0.17,0.589,206240,0.745,0.000406,7,0.376,-8.109,1,0.076,99.407,4,0.76,1,Everybody Likes Something Good,Ify Jerry Crusade,R&B
88,0.0221,0.606,234987,0.668,1.65E-05,5,0.0527,-9.168,0,0.0729,158.859,4,0.958,1,Dadje Von O Von Non,Gnonnas Pédro,World
89,0.0397,0.786,302840,0.547,0.272,1,0.0378,-11.416,1,0.262,92.603,4,0.68,1,Sugah Daddy,D'Angelo,Soul
90,0.0213,0.734,321933,0.548,0,11,0.512,-9.682,1,0.386,128.289,4,0.72,1,International Players Anthem,Swishahouse,Hip Hop
91,0.0454,0.812,268421,0.676,0,1,0.0929,-4.502,1,0.0491,114.047,4,0.399,1,Swerve,ILoveMakonnen,Hip Hop
92,0.00672,0.876,213246,0.606,1.06E-05,0,0.14,-5.471,1,0.0645,127.975,4,0.249,1,Look At Wrist,Father,Trap
93,0.00488,0.601,467587,0.873,0.0365,1,0.113,-5.866,0,0.0448,124.997,4,0.566,1,Let It Happen,Tame Impala,Indie
94,0.00419,0.748,213053,0.741,0,6,0.147,-3.103,1,0.0531,128.077,4,0.533,1,My Way (feat. Monty),Fetty Wap,Hip Hop
95,0.17,0.615,214150,0.814,0,9,0.218,-3.903,0,0.0677,144.005,4,0.601,1,Walk,Kwabs,Soul
96,0.0604,0.799,333520,0.789,0,0,0.0338,-8.208,1,0.0396,116.081,4,0.833,1,The Magnificent Seven - Remastered,The Clash,Hip Hop
97,0.0571,0.398,247390,0.776,0.0172,9,0.303,-7.388,0,0.0374,110.815,4,0.689,1,NOBO,Tijuana Panthers,Indie
98,0.716,0.685,427227,0.423,0.518,11,0.0765,-9.031,0,0.0475,138.034,4,0.649,1,The Gaudy Side of Town,Gayngs,Indie
99,0.0151,0.706,299799,0.581,0,9,0.368,-6.492,1,0.055,134.009,4,0.463,1,U Mad,Vic Mensa,Hip Hop
100,0.228,0.63,315595,0.98,0.00661,1,0.487,-4.914,1,0.059,108.009,4,0.805,1,Slumlord,Neon Indian,Indie
101,0.017,0.57,237480,0.736,5.74E-05,9,0.178,-5.822,1,0.0844,99.86,4,0.267,1,Leave A Trace,CHVRCHES,Indie
102,0.247,0.525,292760,0.643,0,5,0.106,-6.874,0,0.816,199.727,4,0.943,1,Willing & Able,Disclosure,Disco
103,0.123,0.698,236760,0.793,0,1,0.0805,-5.332,0,0.105,129.948,4,0.46,1,White Girl,Shy Glizzy,Hip Hop
104,0.00705,0.763,213375,0.773,0.032,0,0.772,-4.722,1,0.0533,130.025,4,0.347,1,Maneuvering,ILoveMakonnen,Hip Hop
105,0.181,0.511,160907,0.769,0,4,0.0921,-7.032,1,0.042,129.657,4,0.814,1,Be My Baby,The Ronettes,Pop
106,0.378,0.506,159253,0.813,0.0293,4,0.276,-5.78,1,0.0392,108.212,4,0.855,1,Why Don't They Let Us Fall in Love,The Ronettes,Pop
107,0.677,0.513,162040,0.494,6.43E-05,0,0.143,-5.072,1,0.0315,135.894,4,0.521,1,Will You Love Me Tomorrow,The Shirelles,Pop
108,0.488,0.251,126827,0.868,7.34E-06,1,0.818,-2.685,1,0.128,177.125,4,0.587,1,One Fine Day,The Chiffons,Pop
109,0.487,0.559,111270,0.633,0,7,0.164,-3.265,1,0.0329,72.496,4,0.842,1,He's So Fine - 2000 Digital Remaster,The Chiffons,Pop
110,0.7,0.431,158685,0.678,6.37E-06,4,0.199,-7.945,1,0.0365,135.919,4,0.632,1,Then He Kissed Me,The Crystals,Rock
111,0.403,0.683,142333,0.71,0,9,0.086,-7.445,1,0.114,128.181,4,0.93,1,It's My Party,Lesley Gore,Pop
112,0.656,0.78,149440,0.599,0,2,0.129,-10.251,1,0.0329,121.198,4,0.967,1,Please Mr. Postman,The Marvelettes,Pop
113,0.00904,0.614,196352,0.907,0.000131,4,0.36,-2.536,0,0.143,122.906,4,0.354,1,Fiesta - Remix,Bomba Estéreo,World
114,0.141,0.661,196615,0.531,0,7,0.136,-10.113,0,0.548,93.287,5,0.657,1,Queen's Speech 4,Lady Leshurr,Hip Hop
115,0.119,0.564,213622,0.594,0,11,0.536,-9.912,0,0.155,89.394,4,0.489,1,I Know There's Gonna Be (Good Times),Jamie xx,Indie
116,0.0659,0.751,202533,0.597,0,9,0.0881,-6.59,0,0.125,123.997,4,0.168,1,With That (feat. Duke),Young Thug,Hip Hop
117,0.00257,0.896,267024,0.623,0.000258,2,0.039,-8.008,1,0.0571,134.962,4,0.564,1,Hotline Bling,Drake,Pop
118,0.00256,0.618,196693,0.717,0,7,0.625,-5.738,1,0.318,190.05,4,0.601,1,679 (feat. Remy Boyz),Fetty Wap,Hip Hop
119,0.0244,0.746,222093,0.873,0,7,0.354,-3.803,1,0.128,148.075,4,0.808,1,Trap Queen,Fetty Wap,Hip Hop
120,0.013,0.888,200080,0.483,4.85E-06,6,0.0926,-7.797,1,0.154,125.008,4,0.221,1,No Type,Rae Sremmurd,Hip Hop
121,0.0127,0.443,318750,0.645,0.952,6,0.122,-6.24,1,0.0515,128.044,4,0.138,1,Chasing Heaven,Bassnectar,Dance
122,0.00943,0.507,282273,0.934,0.0018,8,0.222,-2.325,0,0.188,175.954,4,0.472,1,Speakerbox (feat. Lafa Taylor),Bassnectar,Dance
123,0.000758,0.695,253773,0.912,0.000103,10,0.302,-3.331,0,0.193,160.043,4,0.612,1,Movin' Bass - GTA Remix,Rick Ross,Hip Hop
124,0.674,0.462,226333,0.449,0.000632,0,0.0993,-9.271,0,0.0916,209.686,4,0.748,1,Danger and Dread,Brown Bird,Folk
125,0.0161,0.526,241440,0.712,0,11,0.179,-6.525,0,0.0356,105.009,4,0.299,1,Midnight City,M83,Indie
126,0.107,0.645,591707,0.924,0.0266,10,0.0982,-7.697,0,0.0569,90.852,4,0.886,1,Water No Get Enemy - Edit,Fela Kuti,World
127,0.0134,0.405,592920,0.647,7.62E-05,5,0.819,-6.109,0,0.0482,131.952,4,0.204,1,Pyramids,Frank Ocean,R&B
128,0.0219,0.735,269817,0.641,0.89,7,0.168,-6.177,0,0.0284,105.993,4,0.886,1,Hercules Theme,Hercules & Love Affair,Dance
129,0.0452,0.746,238146,0.416,7.77E-05,11,0.12,-6.607,1,0.0482,132.036,4,0.216,1,Rewind,Kelela,Dance
130,0.0551,0.547,251093,0.643,0,1,0.267,-8.904,1,0.227,143.064,4,0.187,1,My Sub (Pt. 2: The Jackin') - Album Version (Edited),Big K.R.I.T.,Hip Hop
131,0.0224,0.634,221960,0.609,0,6,0.099,-8.982,1,0.172,83.021,4,0.659,1,Kush,Lil Wayne,Hip Hop
132,0.244,0.607,253800,0.488,0.000177,8,0.113,-8.704,1,0.193,77.021,4,0.16,1,9,Willow,Pop
133,0.0668,0.704,199246,0.647,1.93E-06,10,0.101,-7.874,0,0.171,92.002,4,0.694,1,Magnets,Disclosure,Electronic
134,7.19E-05,0.558,258187,0.642,0.00746,5,0.201,-5.206,0,0.0321,99.977,4,0.492,1,Don't Move,Phantogram,Hip Hop
135,0.0227,0.698,248053,0.804,0.0599,4,0.566,-6.616,1,0.111,92.001,4,0.786,1,Pussy,Brazilian Girls,Jazz
136,0.103,0.772,191160,0.582,6.61E-05,4,0.323,-5.96,0,0.309,172.03,4,0.564,1,Black Mags,The Cool Kids,Hip Hop
137,0.0956,0.788,238467,0.864,0,11,0.335,-5.767,1,0.0335,133.295,4,0.678,1,Stay Fly - Explicit Album Version,Three 6 Mafia,Hip Hop
138,0.00919,0.944,261973,0.839,0,11,0.0921,-4.141,1,0.108,136.019,4,0.891,1,Sippin On Some Syrup,Three 6 Mafia,Hip Hop
139,0.354,0.729,176880,0.795,0,7,0.536,-4.579,1,0.144,146.747,4,0.853,1,Poppin' My Collar - feat. Project Pat - Explicit,Three 6 Mafia,Hip Hop
140,0.00469,0.721,228933,0.621,0.0103,1,0.199,-4.378,1,0.306,159.967,4,0.578,1,Sittin' Sidewayz - feat. Big Pokey Explicit,Paul Wall,Hip Hop
141,0.00102,0.798,227587,0.751,3.22E-06,1,0.0271,-6.335,1,0.263,162.003,4,0.482,1,Gold and a Pager,The Cool Kids,Hip Hop
142,0.0512,0.851,224653,0.387,0,0,0.0996,-13.584,1,0.334,116.629,4,0.365,1,Smell Yo D*ck,Riskay,Hip Hop
143,0.0252,0.34,147467,0.805,0,7,0.138,-3.397,1,0.0387,167.922,4,0.654,1,Don't Wanna Lose,Ex Hex,Indie
144,0.221,0.767,194066,0.891,0.0723,4,0.0935,-6.426,1,0.0402,122.026,4,0.779,1,Endless Rhythm,Baio,Indie
145,0.937,0.772,220093,0.635,0.018,0,0.0961,-8.412,1,0.0536,168.039,4,0.592,1,Demon,Shamir,Dance
146,2.13E-05,0.259,350920,0.847,0.823,2,0.133,-6.298,1,0.0332,150.162,4,0.682,1,Nothing Ever Happened,Deerhunter,Indie
147,0.284,0.633,226747,0.77,0,10,0.308,-6.954,0,0.327,149.97,4,0.324,1,Oh My Darling Don't Meow (Just Blaze Remix),Run The Jewels,Hip Hop
148,0.0962,0.654,252095,0.292,0.0031,2,0.106,-12.977,1,0.474,153.547,4,0.111,1,River,Ibeyi,Indie
149,0.334,0.726,221787,0.583,0.00135,0,0.122,-6.434,0,0.23,140.943,4,0.48,1,The Buzz (feat. Mataya & Young Tapz),Hermitude,Dance
150,0.0648,0.855,310907,0.638,0,9,0.162,-4.968,0,0.143,122.967,4,0.433,1,All Day,Kanye West,Hip Hop
151,0.185,0.704,282253,0.431,0.0972,8,0.249,-7.893,1,0.131,146.003,4,0.349,1,Blood On the Money,Future,Hip Hop
152,0.689,0.658,238560,0.179,0,8,0.17,-10.866,1,0.0448,128.128,4,0.197,1,River,Leon Bridges,R&B
153,0.000472,0.502,244204,0.833,0.043,2,0.352,-4.982,1,0.0638,142.053,4,0.593,1,Trust Me Danny,ILoveMakonnen,Hip Hop
154,0.00157,0.79,217707,0.676,0,8,0.25,-6.432,0,0.271,132.002,4,0.314,1,Big Rings,Drake,Hip Hop
155,0.0233,0.738,242188,0.849,0.0317,2,0.309,-6.246,1,0.0822,95.987,4,0.863,1,Annie,Neon Indian,Indie
156,0.00212,0.777,500550,0.739,0.868,9,0.109,-9.089,1,0.039,119.992,4,0.201,1,Acamar,Frankey,Dance
157,0.0734,0.791,219333,0.779,0,7,0.0832,-5.972,1,0.235,110.037,4,0.581,1,Alright,Kendrick Lamar,Funk
158,0.19,0.735,275840,0.41,0,11,0.341,-8.735,0,0.2,114.812,4,0.16,1,Know Yourself,Drake,Hip Hop
159,0.188,0.556,294360,0.582,0.911,6,0.229,-10.65,0,0.0357,131.023,4,0.516,1,Deicide,Crystal Castles,Indie
160,0.461,0.427,206387,0.465,5.52E-05,6,0.154,-6.595,1,0.0291,112.137,3,0.462,1,Coming Home,Leon Bridges,R&B
161,0.0111,0.563,176361,0.81,2.71E-05,8,0.142,-9.158,1,0.0372,99.996,4,0.767,1,Hercules Theme 2014,Hercules & Love Affair,Dance
162,0.0496,0.753,256320,0.708,0.0123,6,0.0872,-7.217,0,0.223,115.004,4,0.445,1,Forever,Majid Jordan,Pop
163,0.149,0.785,262979,0.764,0.813,4,0.201,-5.245,0,0.04,93.984,4,0.961,1,Next to You,Poolside,Dance
164,0.0682,0.557,293910,0.608,0.0263,5,0.196,-7.657,0,0.0862,109.67,4,0.211,1,Papi Pacify,FKA twigs,Electronic
165,0.489,0.594,235693,0.42,0.00452,4,0.0833,-8.467,0,0.031,140.04,4,0.311,1,Magnolia,Young & Sick,Other
166,0.000259,0.644,237120,0.758,0.0708,5,0.0726,-7.859,1,0.0458,108.99,4,0.752,1,Dark Matter,Feathers,Indie
167,0.217,0.704,185437,0.657,0.000118,10,0.0888,-7.172,0,0.35,150.058,4,0.804,1,Callie (feat. Vic Mensa),Donnie Trumpet,Hip Hop
168,0.0472,0.849,217693,0.408,0,6,0.101,-8.67,0,0.284,99.876,4,0.337,1,Wu-Tang Forever,Drake,Hip Hop
169,0.228,0.628,260947,0.568,0.0183,10,0.0906,-10.695,1,0.14,191.404,4,0.618,1,Fame (2007 Remastered),David Bowie,Pop
170,0.00689,0.717,224933,0.862,0,8,0.321,-4.736,1,0.054,130.021,4,0.512,1,We Dem Boyz,Wiz Khalifa,Hip Hop
171,0.0109,0.584,243480,0.68,1.03E-06,9,0.129,-4.685,0,0.0524,104.89,4,0.326,1,Ego Free Sex Free,Autre Ne Veut,Dance
172,0.0246,0.586,374133,0.806,0.000167,1,0.353,-9.542,1,0.0548,110.325,4,0.207,1,Her Fantasy,Matthew Dear,Dance
173,0.00399,0.648,560600,0.85,0.294,1,0.35,-6.277,1,0.0439,112.014,4,0.559,1,Little People (Black City),Matthew Dear,Dance
174,0.037,0.807,250130,0.785,0.000763,8,0.18,-7.928,1,0.148,124.051,4,0.421,1,Confess To Me,Disclosure,Pop
175,0.0789,0.577,355881,0.941,0.207,10,0.342,-4.338,1,0.0422,99.995,4,0.381,1,Let Me Show You Love,Cut Copy,Dance
176,0.141,0.5,256093,0.593,6.21E-06,1,0.0969,-4.34,1,0.0898,68.456,4,0.325,1,New Slaves,Kanye West,Hip Hop
177,0.108,0.804,336160,0.708,0.0636,10,0.0528,-5.099,0,0.0394,141.996,4,0.966,1,Sexy Socialite,Chromeo,Dance
178,0.0108,0.787,273853,0.658,0.0152,8,0.13,-5.379,0,0.0324,110.983,4,0.867,1,Okay,Holy Ghost!,Dance
179,0.0107,0.246,230230,0.784,5.71E-06,5,0.0825,-5.004,1,0.0529,153.027,4,0.189,1,Weight,Mikal Cronin,Rock
180,0.0107,0.882,284027,0.743,0.00152,7,0.327,-6.972,1,0.141,123.97,4,0.678,1,When A Fire Starts To Burn,Disclosure,House
181,0.0315,0.628,308527,0.824,0.543,0,0.0999,-7.983,1,0.112,122.01,4,0.86,1,When A Fire Starts To Burn - Midland Remix,Disclosure,House
182,0.00807,0.451,179947,0.79,0,11,0.0394,-4.261,0,0.0461,127.142,4,0.674,1,Fake Tales Of San Francisco,Arctic Monkeys,Rock
183,0.64,0.518,405027,0.385,0.000536,9,0.0931,-11.125,0,0.0286,100.878,4,0.264,1,Billie Holiday,Warpaint,Indie
184,0.0414,0.774,269867,0.901,4.84E-06,9,0.873,-5.398,0,0.216,128.024,4,0.768,1,Goody Two Shoes,Duck Sauce,House
185,0.0127,0.547,245293,0.635,5.01E-06,2,0.0585,-5.569,1,0.137,113.678,4,0.496,1,The Wire,HAIM,Rock
186,0.0585,0.552,283636,0.878,0.892,1,0.0746,-5.767,1,0.0353,176.057,4,0.603,1,Awake,Tycho,Other
187,0.00856,0.542,216827,0.946,5.38E-06,10,0.386,-6.307,1,0.0505,108.496,4,0.389,1,Man I Need,Jagwar Ma,House
188,0.019,0.695,246521,0.94,0.8,7,0.623,-2.935,1,0.127,100.262,4,0.337,1,N.O. Bounce,Big Freedia,Dance
