Artist,Song Title,Genre (Aneeka),Genre (Samantha),Genre (Michael) ,Lyrics
Ed Sheeran,Shape of You,Pop,Pop,Pop,"The club isn't the best place to find a lover So the bar is where I go Me and my friends at the table doing shots Drinking fast and then we talk slow Come over and start up a conversation with just me And trust me I'll give it a chance now Take my hand, stop, put Van the Man on the jukebox And then we start to Dance, and now I'm singing like Girl, you know I want your love Your love was handmade for somebody like me Come on now, follow my lead I may be crazy, don't mind me Say, boy, let's not talk too much Grab on my waist and put that body on me Come on now, follow my lead Come, come on now, follow my lead I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body And last night you were in my room And now my bedsheets smell like you Every day discovering something brand new I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Every day discovering something brand new I'm in love with the shape of you One week in we let the story begin We're going out on our first date You and me are thrifty, so go all you can eat Fill up your bag and I fill up a plate We talk for hours and hours about the sweet and the sour And how your family is doing okay Leave and get in a taxi, then kiss in the backseat Tell the driver make the radio play, and I'm singing like Girl, you know I want your love Your love was handmade for somebody like me Come on now, follow my lead I may be crazy, don't mind me Say, boy, let's not talk too much Grab on my waist and put that body on me Come on now, follow my lead Come, come on now, follow my lead I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body And last night you were in my room And now my bedsheets smell like you Every day discovering something brand new I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Oh—I—oh—I—oh—I—oh—I I'm in love with your body Every day discovering something brand new I'm in love with the shape of you Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on I'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body Last night you were in my room And now my bedsheets smell like you Every day discovering something brand new I'm in love with your body Come on, be my baby, come on Come on, be my baby, come on I'm in love with your body Come on, be my baby, come on Come on, be my baby, come on I'm in love with your body Come on, be my baby, come on Come on, be my baby, come on I'm in love with your body Every day discovering something brand new I'm in love with the shape of you"
Khalid,Love Lies (with Normani),R&B,R&B,Pop,"Sorry if it's hard to catch my vibe, mmm I need a lover to trust, tell me you're on my side Are you down for the ride? It's not easy for someone to catch my eye But I've been waitin' for you for my whole damn life For my whole lifetime Don't be afraid to tell me if you ain't with it (you ain't with it) I see you're focused, yeah you're so independent (independent) It's hard for me to open up, I'll admit it (I'll admit it) You've got some shit to say and I'm here to listen So baby, tell me where your love lies Waste the day and spend the night Underneath the sunrise Show me where your love lies I've been so into your mystery Is it because of our history? Are you into me? When it feels so good, but it's bad for you Can't say I don't want it 'cause I know I do Come on over, I need your company Cravin' that synergy Don't be afraid to tell me if you ain't with it (you ain't with it) I see you're focused, yeah, you're so independent (independent) It's hard for me to open up, I'll admit it (I'll admit it) You've got some shit to say and I'm here to listen So baby, tell me where your love lies Waste the day and spend the night Underneath the sunrise Show me where your love lies Tell me where your love lies Waste the day and spend the night Underneath the sunrise Show me where your love lies If you're down, don't hide it Feelin' me, you don't gotta deny it Baby you gon' make me overnight it Tell me, are you down? If you're down, don't hide it (yeah) Feelin' me, you don't gotta deny it (yeah) Baby you gon' make me overnight it Tell me, are you down? (Tell me) Tell me where your love lies (tell me where your love lies) Waste the day and spend the night (waste the day, spend the night) Underneath the sunrise (underneath the sunrise) Show me where your love lies (tell me where your love lies) Tell me where your love lies (show me where your love lies) Waste the day and spend the night (yeah, yeah) Underneath the sunrise (ooh) Show me where your love lies"
Bebe Rexha,Meant to Be (feat. Florida Georgia Line),R&B,Country,Pop,"Baby, lay on back and relax, kick your pretty feet up on my dash No need to go nowhere fast, let's enjoy right here where we at Who knows where this road is supposed to lead We got nothing but time As long as you're right here next to me, everything's gonna be alright If it's meant to be, it'll be, it'll be Baby, just let it be If it's meant to be, it'll be, it'll be Baby, just let it be So, won't you ride with me, ride with me? See where this thing goes If it's meant to be, it'll be, it'll be Baby, if it's meant to be I don't mean to be so uptight, but my heart's been hurt a couple times By a couple guys that didn't treat me right I ain't gon' lie, ain't gonna lie 'Cause I'm tired of the fake love, show me what you're made of Boy, make me believe But hold up, girl, don't you know you're beautiful? And it's easy to see If it's meant to be, it'll be, it'll be Baby, just let it be If it's meant to be, it'll be, it'll be Baby, just let it be So, won't you ride with me, ride with me? See where this thing goes If it's meant to be, it'll be, it'll be Baby, if it's meant to be So, c'mon ride with me, ride with me See where this thing goes So, c'mon ride with me, ride with me Baby, if it's meant to be Maybe we do Maybe we don't Maybe we will Maybe we won't But if it's meant to be, it'll be, it'll be Baby, just let it be If it's meant to be, it'll be, it'll be (c'mon) Baby, just let it be (let's go) So, won't you ride with me, ride with me? See where this thing goes If it's meant to be, it'll be, it'll be Baby, if it's meant to be If it's meant to be, it'll be, it'll be Baby, if it's meant to be If it's meant to be, it'll be, it'll be Baby, if it's meant to be"
XXXTENTACION,Jocelyn Flores,Hip-Hop,Rap,Hip-Hop,"I know you so well, so well I mean, I can do anything that he can I've been pretty I know you're somewhere, somewhere I've been Trapped in my mind girl, just holding on I don't wanna pretend there's something, we're nothing I've been stuck thinking 'bout her, I can't hold back I'm in pain, wanna put ten shots in my brain I've been tripping 'bout some things, can't change Suicidal, same time I'm tame Picture this, in bed, get a phone call Girl that you fucked with killed herself That was this summer and nobody helped And ever since then, man, I hate myself Wanna fucking end it Pessimistic All wanna see me with no pot to piss in But niggas been excited 'bout the grave I'm digging Having conversations about my haste decisions Fucking sickening At the same time, memory surfaced through the gRapevine 'Bout my uncle playing with a slipknot Post traumatic stress got me fucked up Been fucked up since a couple months they had a nigga locked up I be feeling pain, I be feeling pain just to hold on And I don't feel the same, I'm so numb I be feeling pain, I be feeling pain just to hold on And I don't feel the same, I'm so numb I know you so well, I know you well I mean, I can do anything that he can I've been pretty"
Ed Sheeran,Perfect,Pop,Pop,Pop,"I found a love for me Darling just dive right in And follow my lead Well I found a girl beautiful and sweet  I never knew you were the someone waiting for me 'Cause we were just kids when we fell in love Not knowing what it was I will not give you up this time But darling, just kiss me slow, your heart is all I own And in your eyes you're holding mine Baby, I'm dancing in the dark with you between my arms Barefoot on the grass, listening to our favorite song When you said you looked a mess, I whispered underneath my breath But you heard it, darling, you look perfect tonight Well I found a woman, stronger than anyone I know She shares my dreams, I hope that someday I'll share her home I found a love, to carry more than just my secrets To carry love, to carry children of our own We are still kids, but we're so in love Fighting against all odds I know we'll be alright this time Darling, just hold my hand Be my girl, I'll be your man I see my future in your eyes Baby, I'm dancing in the dark, with you between my arms Barefoot on the grass, listening to our favorite song When I saw you in that dress, looking so beautiful I don't deserve this, darling, you look perfect tonight Baby, I'm dancing in the dark, with you between my arms Barefoot on the grass, listening to our favorite song I have faith in what I see Now I know I have met an angel in person And she looks perfect I don't deserve this You look perfect tonight"
Tyga,Taste (feat. Offset),Hip-Hop,Hip-Hop,Hip-Hop,"D.A Slide on a pimp game with my pinky ring Lotta gang, lotta bitches, and a icy chain Why you claim that you rich? That's a false claim I be straight to the whip, no baggage claim Whole lotta styles, can't even pronounce the name You don't even got no style, see you on my Instagram I be rockin' it like it's fresh out the pan Only when I'm takin' pics, I'm the middleman Walk, talk it like a boss, I just lift the hand Three million cash, call me Rain Man Money like a shower, that's my rain Dance And we all in black, like it's Gangland Say the wrong word, you be hangman Watch me stick to your bitch like a spray tan Aw, Mr. 'What Kind Of Car You In?' In the city love my name, nigga, I ain't gotta say it Taste, taste, she can get a taste Taste, taste, she can get a taste Taste, taste, fuck what a nigga say It's all the same, like Mary-Kate Taste, taste, she can get a taste Taste, taste, let you get a taste Taste, taste, do you love the taste? Yeah that's cool but he ain't like me Lotta girls like me, niggas wanna fight me Nigga get yo ass checked like a fuckin' Nike Me not icey, that's unlikely And she gon' suck me like a fuckin' Hi-C Aw, chains on the neck for the whole team And I feel like Gucci with the ice cream And my bitch want the Fenty, not the Maybelline I'm the black JB the way these bitches scream Make these bitches scream Pretty little thing Like my nigga A.E, say, ""yadadamean"" Taste, taste, she can get a taste Taste, taste, she can get a taste Taste, taste, fuck what a nigga say It's all the same, like Mary-Kate Taste, taste, she can get a taste Taste, taste, let you get a taste Taste, taste, do you love the taste? Yeah that's cool Yeah, I'ma put the drip on the plate (drip, drip) Diamond ice-glazed, niggas imitate (ice, ice) Aye, aye feed me gRapes Maybach with the drac' (gRape) Slow pace in the Wraith, got this shit from bae Diamonds up to par, the cookie hittin' hard (hard) The Rari sit in park, I'm at it, on Mars (Mars) Shotgun shells, we gon' always hit the target (blaow) Popcorn bitch shell Poppin' out the cartridge (Pop it) 3400 Nawfside, Charles Barkley 4-8-8, Ferrari Make her get on top of me and ride me like a Harley She wanna keep me company and never want depart me (no) (Depart me) Yeah, fishtail in the parking lot (skrt, skrt) I don't kick it with these niggas 'cause they talk about 'cha And I got the fire, don't make me spark it out 'cha Keep it in my back pocket like it's a wallet Like the way she suck it, suck it like a Jolly (whoa) Stack it up and put it with the whole project (racks) And she got the Patek on water moccasin I'm rich in real life, I get that profit, copy Taste, taste, she can get a taste Taste, taste, let you get a taste Taste, taste, do you love the taste? Yeah, that's cool, but he ain't like me Taste, taste, LA you can get a taste Taste, taste, Miami you can get a taste Taste, taste, Oakland you can get a taste Taste, taste, New York do you love the taste? Taste, taste, Chi-Town you can get a taste Taste, taste, Houston you can get a taste Taste, taste, Portland you can get a taste Taste, taste, overseas let them bitches taste Taste, taste, she can get a taste Taste, taste, she can get a taste Taste, taste, do you love the taste? Taste, taste, worldwide they gon' get a taste"
Clean Bandit,Solo (feat. Demi Lovato),Electronic,EDM,Pop,"This solo, solo, everybody This solo, everybody This solo, solo, everybody I never meant to leave you hurtin' I never meant to do the worst thing Not to you (this solo, solo, everybody) 'Cause every time I read your message I wish I wasn't one of your exes Now I'm the fool (this solo, solo, everybody) Since you been gone I've been dancing on my own There's boys up in my zone But they can't turn me on 'Cause baby, you're the only one I'm coming for I can't take no more, no more, no more I wanna f-woop, woop woop, but I'm broken hearted Cr-cr-cry but I like to party T-t-touch but I got nobody Here on my own I wanna f-woop, woop woop, but I'm broken hearted Cr-cr-cry since the day we parted T-t-touch but I got nobody So I do it solo This solo, solo, everybody This solo, everybody This solo, solo, everybody So I do it solo This solo, solo, everybody This solo, everybody This solo, solo, everybody I do it solo Every single night I lose it I can't even hear the music without you (it solo, solo, everybody) Ah, yeah, yeah Try to stop myself from calling But I really wanna know if you're with someone new (it solo, solo, everybody) Since you been gone I've been dancing on my own There's boys up in my zone But they can't turn me on 'Cause baby, you're the only one I'm coming for I can't take no more, no more, no more I wanna f-woop, woop woop, but I'm broken hearted Cr-cr-cry but I like to party T-t-touch but I got nobody Here on my own I wanna f-woop, woop woop, but I'm broken hearted Cr-cr-cry since the day we parted T-t-touch but I got nobody So I do it solo This solo, solo, everybody This solo, everybody This solo, solo, everybody I do it solo This solo, solo, everybody This solo, everybody This solo, solo, everybody So do it solo Can't do it solo I wanna f-woop, woop woop, but I'm broken hearted Cr-cr-cry but I like to party T-t-touch but I got nobody Here on my own (here on my own) I wanna f-woop, woop woop, but I'm broken hearted Cr-cr-cry since the day we parted T-t-touch but I got nobody So I do it solo This solo, solo, everybody This solo, everybody This solo, solo, everybody I do it solo This solo, solo, everybody This solo, everybody This solo, solo, everybody I do it solo So I do it solo"
Post Malone,I Fall Apart,R&B,Hip-Hop,R&B,"Ooh I fall apart Ooh yeah, mm She told me that I'm not enough, yeah And she left me with a broken heart, yeah She fooled me twice and it's all my fault, yeah She cut too deep, now she left me scarred, yeah Now there's too many thoughts goin' through my brain, yeah And now I'm takin' these shots like it's novacane, yeah Ooh, I fall apart Down to my core Oooh, I fall apart Down to my core Ooh, didn't know it before Surprised when you caught me off guard All this damn jewelry I bought You was my shorty, I thought Never caught a feelin' this hard Harder than the liquor I pour Tell me you don't want me no more But I can't let go Everybody told me so Feelin' like I sold my soul Devil in the form of a whore Devil in the form of a whore You said it No you said it No you said it We'd be together Ooh, I fall apart Down to my core Ooh, I fall apart Down to my core Ooh, didn't know it before Surprised when you caught me off guard All this damn jewelry I bought You was my shorty, I thought Ice keep pourin' and the drink keep flowin' Try to brush it off but it keep on goin' Covered in scars and I can't help showin' Whippin' in the foreign and the tears keep blowin' Ice keep droppin' and the drink keep flowin' Try to brush it off but it keep on goin' All these scars, can't help from showin' Whippin' in the foreign and the tears keep blowin', yeah Ooh, I fall apart Down to my core Ooh, I fall apart Down to my core Ooh, didn't know it before Surprised when you caught me off guard All this damn jewelry I bought You was my shorty, I thought Ayy, ayy, you should Ayy, ayy, ayy, uh, you should, ayy, ayy"
Dennis Lloyd,Nevermind,Pop,Dance,Pop,"Alright, I'm ready now, ready now I ain't gonna, I ain't gonna fall back down now Alright, I'll take it on, take it on me Take it on me, hm, baby All I ever ask, ever ask Are you gonna, are you gonna be my lover? Tonight, and take it with, take it with me Take it with me What if I left and it made no sense And you tell your friends and they hold your hands? Baby, nevermind, nevermind Nevermind, nevermind What if I left and it made no sense And you tell your friends and they hold your hands? Baby, nevermind, nevermind Nevermind, nevermind What if I left and it made no sense And you tell your friends and they hold your hands? Baby, nevermind, nevermind Nevermind, nevermind What if I left and it made no sense And you tell your friends and they hold your hands? Baby, nevermind, nevermind Nevermind, nevermind Alright, I'm ready now, ready now I ain't gonna, I ain't gonna stop right now, no Alright, I'll take it on, take it on me Take it on me, ooh baby All I ever ask, ever ask is Do you wanna, do you wanna see my fire Tonight, and take it with, take it with me Take it with me, hm baby? What if I left and it made no sense And you tell your friends and they hold your hands? Baby, nevermind, nevermind Nevermind, nevermind What if I left and it made no sense And you tell your friends and they hold your hands? Baby, nevermind, nevermind Nevermind, nevermind What if I left and it made no sense And you tell your friends and they hold your hands? Baby, nevermind, nevermind Nevermind, nevermind What if I left and it made no sense And you tell your friends and they hold your hands? Baby, nevermind, nevermind Nevermind, nevermind What if I left and it made no sense And you tell your friends and they hold your hands? Baby, nevermind, nevermind Nevermind, nevermind What if I left and it made no sense And you tell your friends and they hold your hands? Baby, nevermind, nevermind Nevermind, nevermind"
Luis Fonsi,Echame La Culpa,,,,"Hey Fonsi Oh no (Qué pasa Demi) Hmm Hey yeah Tengo en esta historia algo que confesar Ya entendí muy bien qué fue lo que pasó Y aunque duela tanto, tengo que aceptar Que tú no eres la mala, que el malo soy yo No me conociste nunca de verdad Ya se fue la magia que te enamoró Y es que no quisiera estar en tu lugar Porque tu error solo fue conocerme No eres tú, no eres tú, no eres tú, soy yo (soy yo) No te quiero hacer sufrir Es mejor olvidar y dejarlo así (así) Échame la culpa No eres tú, no eres tú, no eres tú, soy yo (soy yo) No te quiero hacer sufrir Es mejor olvidar y dejarlo así (así) Échame la culpa Ok I don't really, really wanna fight anymore I don't really, really wanna fake it no more Play me like The Beatles, baby, just let it be So come and put the blame on me, yeah I don't really, really wanna fight anymore I don't really, really wanna fake it no more Play me like The Beatles, baby, just let it be So come and put the blame on me, yeah No eres tú, no eres tú, no eres tú, soy yo (soy yo) No te quiero hacer sufrir Es mejor olvidar y dejarlo así (así) Échame la culpa No eres tú, no eres tú, no eres tú, soy yo (soy yo) No te quiero hacer sufrir Es mejor olvidar y dejarlo así (así) Échame la culpa Solamente te falta un beso Solamente te falta un beso Ese beso que siempre te prometí Échame la culpa Solamente te falta un beso Solamente te falta un beso Ese beso que siempre te prometí Échame la culpa Ok I don't really, really wanna fight anymore I don't really, really wanna fake it no more Play me like The Beatles, baby, just let it be So come and put the blame on me, yeah I don't really, really wanna fight anymore I don't really, really wanna fake it no more Play me like The Beatles, baby, just let it be So come and put the blame on me, yeah No eres tú, no eres tú, no eres tú, soy yo (soy yo) No te quiero hacer sufrir Es mejor olvidar y dejarlo así (así) Échame la culpa No eres tú, no eres tú, no eres tú, soy yo (soy yo) No te quiero hacer sufrir Es mejor olvidar y dejarlo así (así) Échame la culpa Solamente te falta un beso Solamente te falta un beso Ese beso que siempre te prometí Échame la culpa Solamente te falta un beso Solamente te falta un beso Ese beso que siempre te prometí Échame la culpa"
benny blanco,Eastside (with Halsey & Khalid),Pop,Pop,Pop,"Uh Yeah, yeah When I was young, I fell in love We used to hold hands, man, that was enough (yeah) Then we grew up, started to touch Used to kiss underneath the light on the back of the bus (yeah) Oh no, your daddy didn't like me much And he didn't believe me when I said you were the one Oh, every day she found a way out of the window to sneak out late She used to meet me on the Eastside In the city where the sun don't set And every day you know that we ride Through the backstreets of a blue Corvette Baby, you know I just wanna leave tonight We can go anywhere we want Drive down to the coast, jump in the seat Just take my hand and come with me, yeah We can do anything if we put our minds to it Take your whole life then you put a line through it My love is yours if you're willing to take it Give me your heart 'cause I ain't gonna break it So come away, starting today Start a new life, together in a different place We know that love is how these ideas came to be So baby, run away, away with me Seventeen and we got a dream to have a family A house and everything in between And then, oh, suddenly we turned twenty-three Now we got pressure for taking our life more seriously We got our dead-end jobs and got bills to pay Have old friends and know our enemies Now I, I'm thinking back to when I was young Back to the day when I was falling in love He used to meet me on the Eastside In the city where the sun don't set And every day you know where we ride Through the backstreets in a blue Corvette And baby, you know I just wanna leave tonight We can go anywhere we want Drive down to the coast, jump in the seat Just take my hand and come with me Singing We can do anything if we put our minds to it Take your whole life then you put a line through it My love is yours if you're willing to take it Give me your heart 'cause I ain't gonna break it So come away, starting today Start a new life, together in a different place We know that love is how these ideas came to be So baby, run away with me Run away, now Run away, now Run away, now Run away, now Run away, now Run away, now He used to meet me on the Eastside She used to meet me on the Eastside He used to meet me on the Eastside She used to meet me on the Eastside In the city where the sun don't set"
Camila Cabello,Never Be the Same,Pop,Pop,Hip-Hop,"Something must've gone wrong in my brain Got your chemicals all in my veins Feeling all the highs, feel all the pain Let go of the wheel, it's the borderline Now I'm seeing red, not thinking straight Blurring all the lines, you intoxicate me Just like nicotine, rushin' me, touching me Suddenly, I'm a fiend and you're all I need All I need, yeah, you're all I need It's you, babe And I'm a sucker for the way that you move, babe And I could try to run, but it would be useless You're to blame Just one hit of you, I knew I'll never be the same It's you, babe And I'm a sucker for the way that you move, babe And I could try to run, but it would be useless You're to blame Just one hit of you, I knew I'll never ever, ever be the same I'll never be the same I'll never be the same I'll never be the same Sneaking in L.A. when the lights are low Off of one touch, I could overdose He said, ""Stop playing it safe Girl, I wanna see you lose control"" Just like nicotine, rushin' me, touching me Suddenly, I'm a fiend and you're all I need All I need, yeah, you're all I need It's you, babe And I'm a sucker for the way that you move, babe And I could try to run, but it would be useless You're to blame Just one hit of you, I knew I'll never be the same It's you, babe And I'm a sucker for the way that you move, babe And I could try to run, but it would be useless You're to blame Just one hit of you, I knew I'll never ever, ever be the same I'll never be the same I'll never be the same I'll never be the same You're in my blood, you're in my veins, you're in my head (I blame) You're in my blood, you're in my veins, you're in my head (I'm sayin') It's you, babe And I'm a sucker for the way that you move, babe And I could try to run, but it would be useless You're to blame (you're to blame) Just one hit of you, I knew I'll never be the same (I'll never be the) It's you, babe And I'm a sucker for the way that you move, babe And I could try to run, but it would be useless You're to blame Just one hit of you, I knew I'll never ever, ever be the same"
Selena Gomez,Wolves,Electronic,EDM,Pop,"In your eyes, there's a heavy blue One to love and one to lose Sweet divide, a heavy truth Water or wine, don't make me choose I wanna feel the way that we did that summer night (night) Drunk on a feeling, alone with the stars in the sky I've been running through the jungle I've been running with the wolves To get to you, to get to you I've been down the darkest alleys Saw the dark side of the moon To get to you, to get to you I've looked for love in every stranger Took too much to ease the anger All for you, yeah, all for you I've been running through the jungle I've been crying with the wolves To get to you, to get to you (oh to get to you) Your fingertips trace my skin To places I have never been Blindly I am following Break down these walls and come on in I wanna feel the way that we did that summer night Drunk on a feeling, alone with the stars in the sky I've been running through the jungle I've been running with the wolves To get to you, to get to you I've been down the darkest alleys Saw the dark side of the moon To get to you, to get to you I've looked for love in every stranger Took too much to ease the anger All for you, yeah, all for you I've been running through the jungle I've been crying with the wolves To get to you, to get to you (oh to get to you) I've been running through the jungle I've been running with the wolves To get to you, to get to you I've been down the darkest alleys Saw the dark side of the moon To get to you, to get to you I've looked for love in every stranger Took too much to ease the anger All for you, yeah, all for you I've been running through the jungle I've been crying with the wolves To get to you, to get to you (oh to get to you)"
XXXTENTACION,changes,Hip-Hop,R&B,Hip-Hop,"Mmm, baby, I don't understand this You're changing, I can't stand it My heart can't take this damage And the way I feel, can't stand it Mmm, baby, I don't understand this You're changing, I can't stand it My heart can't take this damage And the way I feel, can't stand it Mmm, baby, I don't understand it Girl, you're making it hard for me Girl, you're making it hard for me Girl, you're making it hard for me, uh Girl, you're making it hard for me Girl, you're making it hard for me Girl, you're making it hard for me Mmm, baby, I don't understand this You're changing, I can't stand it My heart can't take this damage And the way I feel, can't stand it Mmm, baby, I don't understand this You're changing, I can't stand it My heart can't take this damage And the way I feel, can't stand it Mmm, baby, I don't understand this You're changing, I can't stand it My heart can't take this damage And the way I feel, can't stand it Mmm, baby, I don't understand it"
Dynoro,In My Mind,Electronic,EDM,Electronic,"In my mind, in my head This is where we all came from The dreams we have, the love we share This is what we're waiting for In my mind, in my head This is where we all came from The dreams we have, the love we share This is what we're waiting for In my mind, in my head That is where We are from In my mind, in my head That is where We are from In my mind, in my head This is where we all came from The dreams we have, the love we share This is what we're waiting for In my mind, in my head That is where We are from In my mind, in my head That is where We are from And in my mind, in my head This is where we all came from The dreams we have, the love we share This is what we're waiting for And in my mind, in my head This is where we all came from The dreams we have, the love we share This is what we're waiting for In my mind, in my head That is where We are from In my mind, in my head That is where We are from In my mind, in my head This is where we all came from The dreams we have, the love we share This is what we're waiting for In my mind, in my head That is where We are from In my mind, in my head That is where We are from In my mind, in my head That is where We are from In my mind, in my head That is where We are from"
Eminem,River (feat. Ed Sheeran),Hip-Hop,Rap,Hip-Hop,"I've been a liar, been a thief Been a lover, been a cheat All my sins need holy water, feel it washing over me Well, little one, I don't want to admit to something If all it's gonna cause is pain Truth and my lies right now are falling like the rain So let the river run He's comin' home with his neck scratched, to catch flack Sweat jackets and dress slacks, mismatched On his breath's Jack, he's a sex addict And she just wants to exact revenge and get back It's a chess match, she's on his back like a jet-pack She's kept track of all his Internet chats And guess who just happens to be movin' on to the next Actually, just shit on my last chick and she has what my ex lacks 'Cause she loves danger, psychopath And you don't fuck with no man's girl, even I know that But she's devised some plan to stab him in the back Knife in hand, says their relationship's hangin' by a strand So she's been on the web lately Says maybe she'll be my Gwen Stacy, to spite her man And I know she's using me to try to play him, I don't care Hi Suzanne, but I shoulda said ""Bye Suzanne"" After the first night, but tonight I am I've been a liar, been a thief Been a lover, been a cheat All my sins need holy water, feel it washing over me Well, little one, I don't want to admit to something If all it's gonna cause is pain The truth and my lies now are falling like the rain So let the river run A one-night stand turned a two-night stand It was ""come sunlight, scram, "" now we hug tight, and He found out, now she feels deserted and used 'Cause he left, so what? He did it first to her too Now how am I supposed to tell this girl that we're through? It's hard to find the words, I'm aloof, nervous, and Sue Don't want this to hurt, but what you deserve is the truth Don't take it personal, I just can't say this in person to you So I revert to the studio, like hole-in-the-wall diners Don't have to be reserved in a booth I just feel like the person who I'm turning into's Irreversible, I preyed on you like it's church at the pew And now that I got you I don't want you Took advantage in my thirst to pursue Why do I do this dirt that I do? Get on my soapbox and preach, my sermon and speech Detergent and bleach is burnin' the wound 'Cause now with her in the womb We can't bring her in this world, shoulda knew To use protection 'fore I bit into your forbidden fruit (Fuck!) I've been a liar, been a thief Been a lover, been a cheat All my sins need holy water, feel it washing over me Well, little one, I don't want to admit to something If all it's gonna cause is pain The truth and my lies now are falling like the rain So let the river run My name's (ooh), my name's (ooh) River (ooh), river run Call me (ooh), call me (ooh) River (ooh), we'll let the river run Always the bridesmaid, never ""The bride, hey!"" Fuck can I say? If life was a highway And deceit was an enclave, I'd be swerving in five lanes Speeds at a high rate, like I'm slidin' on ice, maybe That's why I may have came at you sideways I can't keep my lies straight But I made you terminate my baby This love triangle left us in a wreck, tangled What else can I say? It was fun for a while Bet I really woulda loved your smile Didn't really wanna abort, but fuck it What's one more lie, to tell our unborn child? I've been a liar, been a thief Been a lover, been a cheat All my sins need holy water, feel it washing over me Well, little one (I'm sorry) I don't want to admit to something (I fucked up) If all it's gonna cause is pain The truth and my lies now are falling like the rain So let the river run"
Daddy Yankee,Dura,,,,"Me gusta mi reggae Tiritiritiririti-Daddy  Evo Jedis Cuando yo la vi  Dije: ""si esa mujer fuera para mí""  Perdóname, te lo tenía que decir Estás dura, dura dura, dura, dura  Que estás dura, mano arriba porque tú te ves bien  Estás dura mamacita, te fuiste de nivel  Dura, mira como brilla tu piel  Estás dura, dímelo dímelo ¿cómo es que es?  Estás dura, yo te doy un veinte de diez  Estás dura, dura, dura Tú eres la máquina, la máquina de baile  Si no tiene a nadie vente pa' mi' brazos, caile  Ese perfume se siente en el aire  Algo como Argentina, tú me traes los Buenos Aires  Está poderosa, media escandalosa  Habrán muchas mujeres pero tú eres otra cosa  Si fuera un delito eso de que estás hermosa  Te arresto en mi cama y te pongo las esposas  Tienes el toque, toque, toque  Miren el material, edición especial  Tienes el toque, toque, toque  Perdóname, te lo tenía que decir Estás dura, dura dura, dura, dura  Que estás dura, mano arriba porque tú te ves bien  Estás dura mamacita, te fuiste de nivel  Dura, mira como brilla tu piel  Estás dura, dímelo dímelo ¿cómo es que es?  Estás dura, yo te doy un veinte de diez  Estás dura, dura, dura Me gusta como mueve ese ram pam pam  Mi mente maquineando en un plan plan plan  Si me deja, en esa curva le doy pam pam  Cuál es tu receta no sé, esta pa' comerte bien  Me gusta como mueve ese ram pam pam  Mi mente maquineando en un plan plan plan  Si me deja, en esa curva le doy pam pam  Tu belleza retumba, las otras pa' la tumba Uno, dos y tres vamo' a darle  La envidia que se calle  Saludos a todas las nenas que paralizan la calle  ¿Cómo tú te llamas? ¿de dónde tu eres?  Dame el número pare entrar contigo en detalles  Y tienes el toque, toque, toque  Pareces una estrella formando el alboroto  Tienes el toque, toque, toque  Se cae el internet cuando subes una foto Cuando yo la vi  Dije: ""si esa mujer fuera para mí""  Perdóname, te lo tenía que decir Estás dura, dura,  dura, dura, dura  Que estás dura, mano arriba porque tú te ves bien  Estás dura mamacita, te fuiste de nivel  Dura, mira como brilla tu piel  Estás dura, dímelo dímelo ¿cómo es que es?  Estás dura, yo te doy un veinte de diez  Estás dura, dura, dura Tú tienes el size, otra como tú mami no hay  Pégate, dale boom bye bye  Que tú tienes el size, otra como tú mami no hay  Pégate, dale boom bye bye  Que tú tienes el size, otra como tú mami no hay  Pégate, dale boom bye bye  Que tú tienes el size, otra como tú mami no hay  Pégate, dale boom bye bye, yep, yeah Retumbando las bocinas de seguro  Da-da-da-Daddy Yankee y el Disco Duro  Urba y Rome  Que pa' esta liga no se asomen  Dura, dura, dura (DY) Blaze (Los Evo Jedis)"
